Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8
1.044;0.566;0.251;0.139;0.136;1.047;0.733;0.445
1.063;0.58;0.264;0.135;0.129;1.06;0.758;0.467
1.061;0.601;0.283;0.136;0.137;1.103;0.78;0.487
1.095;0.603;0.282;0.137;0.136;1.087;0.804;0.466
1.088;0.635;0.267;0.137;0.138;1.09;0.831;0.496
1.104;0.638;0.281;0.14;0.136;1.11;0.856;0.509
1.125;0.671;0.295;0.136;0.133;1.12;0.866;0.535
1.145;0.667;0.296;0.14;0.14;1.149;0.877;0.542
1.144;0.711;0.299;0.139;0.137;1.163;0.93;0.534
1.151;0.733;0.303;0.139;0.135;1.176;0.932;0.544
1.184;0.757;0.314;0.137;0.135;1.178;0.943;0.566
1.187;0.771;0.321;0.137;0.135;1.19;0.962;0.583
1.195;0.792;0.32;0.137;0.139;1.2;0.983;0.608
1.196;0.799;0.315;0.141;0.133;1.215;0.981;0.605
1.23;0.836;0.327;0.138;0.136;1.22;1.02;0.629
1.225;0.834;0.339;0.137;0.136;1.257;1.041;0.66
1.232;0.862;0.336;0.142;0.134;1.247;1.065;0.646
1.263;0.872;0.343;0.138;0.135;1.264;1.062;0.686
1.267;0.916;0.357;0.134;0.137;1.262;1.059;0.677
1.276;0.918;0.359;0.141;0.138;1.271;1.1;0.714
1.294;0.939;0.374;0.136;0.136;1.288;1.114;0.726
1.288;0.968;0.377;0.133;0.133;1.303;1.131;0.748
1.293;0.948;0.401;0.138;0.134;1.327;1.151;0.761
1.304;0.983;0.4;0.136;0.135;1.325;1.166;0.778
1.329;1.011;0.405;0.141;0.142;1.349;1.175;0.804
1.331;1.01;0.418;0.141;0.137;1.341;1.181;0.803
1.347;1.028;0.407;0.137;0.139;1.345;1.199;0.825
1.343;1.06;0.426;0.143;0.143;1.368;1.212;0.845
1.361;1.098;0.457;0.138;0.137;1.371;1.244;0.839
1.37;1.096;0.455;0.14;0.136;1.388;1.253;0.884
1.381;1.126;0.453;0.139;0.136;1.403;1.282;0.891
1.398;1.116;0.469;0.145;0.138;1.403;1.273;0.917
1.405;1.132;0.471;0.139;0.137;1.413;1.296;0.923
1.4;1.159;0.487;0.135;0.135;1.437;1.282;0.943
1.424;1.141;0.487;0.137;0.137;1.43;1.308;0.947
1.435;1.178;0.498;0.141;0.139;1.442;1.338;0.956
1.445;1.185;0.54;0.138;0.139;1.439;1.326;0.967
1.448;1.203;0.528;0.145;0.137;1.469;1.349;1.005
1.455;1.235;0.526;0.143;0.139;1.473;1.344;1.025
1.462;1.226;0.55;0.146;0.138;1.482;1.375;1.019
1.472;1.236;0.549;0.145;0.137;1.499;1.388;1.057
1.483;1.256;0.569;0.14;0.137;1.501;1.378;1.049
1.477;1.277;0.597;0.143;0.139;1.511;1.379;1.057
1.509;1.288;0.614;0.141;0.136;1.514;1.397;1.091
1.496;1.28;0.602;0.149;0.138;1.523;1.385;1.109
1.502;1.3;0.62;0.138;0.14;1.54;1.389;1.117
1.505;1.308;0.629;0.14;0.139;1.526;1.401;1.113
1.513;1.311;0.645;0.138;0.137;1.553;1.406;1.137
1.53;1.323;0.665;0.144;0.142;1.556;1.401;1.144
1.524;1.321;0.648;0.143;0.141;1.561;1.397;1.151
1.552;1.343;0.693;0.143;0.136;1.555;1.415;1.16
1.534;1.345;0.686;0.141;0.134;1.563;1.398;1.169
1.531;1.34;0.715;0.14;0.135;1.564;1.396;1.175
1.532;1.337;0.73;0.142;0.139;1.562;1.403;1.178
1.51;1.341;0.741;0.14;0.143;1.565;1.392;1.182
1.518;1.323;0.741;0.144;0.14;1.56;1.381;1.173
1.54;1.359;0.776;0.145;0.139;1.569;1.396;1.193
1.521;1.331;0.775;0.146;0.138;1.566;1.389;1.194
1.523;1.348;0.795;0.146;0.141;1.544;1.399;1.19
1.515;1.33;0.823;0.141;0.137;1.55;1.401;1.188
1.525;1.359;0.82;0.146;0.137;1.55;1.386;1.179
1.522;1.333;0.811;0.143;0.146;1.557;1.402;1.185
1.507;1.325;0.853;0.138;0.14;1.555;1.38;1.189
1.512;1.313;0.85;0.147;0.14;1.54;1.389;1.187
1.528;1.345;0.875;0.146;0.139;1.549;1.395;1.192
1.507;1.335;0.881;0.142;0.138;1.547;1.405;1.206
1.512;1.345;0.899;0.144;0.137;1.536;1.389;1.194
1.502;1.342;0.924;0.144;0.142;1.546;1.37;1.21
1.507;1.335;0.95;0.144;0.144;1.547;1.394;1.208
1.494;1.326;0.948;0.151;0.142;1.539;1.386;1.201
1.51;1.334;0.976;0.145;0.137;1.537;1.389;1.2
1.492;1.355;0.973;0.149;0.139;1.53;1.401;1.209
1.512;1.339;0.977;0.146;0.138;1.536;1.388;1.221
1.508;1.348;0.993;0.148;0.14;1.533;1.398;1.196
1.508;1.346;0.994;0.149;0.139;1.527;1.389;1.201
1.501;1.339;0.997;0.142;0.137;1.548;1.395;1.202
1.51;1.341;1.018;0.144;0.142;1.545;1.4;1.2
1.51;1.338;1.046;0.146;0.14;1.524;1.393;1.217
1.502;1.338;1.041;0.149;0.14;1.544;1.396;1.204
