conditions;Mu;tau12, h;starting OD;OD10h_minusStartingOD;OD10h_abs;lag, min;lag_corrected, min;r2;RGScript_version;Mu_10;Mu_12;Mu_14
Sample.X1;0.391726963241042;1.76946507655508;0.141428571428571;1.27169230769231;1.40976923076923;195;146.15408625809;0.995144382219152;0.4.0;0.391726963241042;0.391726963241042;0.391726963241042
Sample.X2;0.326499456652746;2.12296580247363;0.131571428571429;1.01576923076923;1.15038461538462;350;224.013103159591;0.996411383991417;0.4.0;0.326499456652746;0.326499456652746;0.326499456652746
Sample.X3;0.240930550108419;2.87695844585953;0.141142857142857;0.356538461538462;0.488230769230769;540;347.411542555333;0.996190780862526;0.4.0;0.240930550108419;0.240930550108419;0.240930550108419
Sample.X4;0.0401097631184655;17.2812584046624;0.137142857142857;0.008;0.140692307692308;980;844.604155504133;0.801475813687653;0.4.0;0.0130206146422409;0.0196655672743302;0.0207698931964709
Sample.X5;0.0138817629646027;49.9322155815127;0.134714285714286;0.00669230769230769;0.137769230769231;980;773.078392747502;0.391825816450622;0.4.0;0.00798950632096625;0.00798950632096625;0.0099233047940606
Sample.X6;0.371865218968619;1.86397421873029;0.185142857142857;1.278;1.42446153846154;205;179.584424057818;0.996324242182201;0.4.0;0.371865218968619;0.371865218968619;0.371865218968619
Sample.X7;0.329984580274032;2.10054415398557;0.130285714285714;1.16469230769231;1.29861538461538;290;174.690567375346;0.99708252634598;0.4.0;0.329984580274032;0.329984580274032;0.329984580274032
Sample.X8;0.282036343794808;2.45765198794482;0.126;0.807461538461538;0.935461538461538;380;218.465655940305;0.997149849676011;0.4.0;0.282036343794808;0.282036343794808;0.282036343794808
